method,seed,budget_k,n_features_used,val_f1,test_f1,test_accuracy,test_balanced_accuracy
mrmr,,1,1,0.5691,0.5595,0.5596,0.5596
mrmr,,2,1,0.5691,0.5595,0.5596,0.5596
mrmr,,3,1,0.5691,0.5595,0.5596,0.5596
mrmr,,5,1,0.5691,0.5595,0.5596,0.5596
mrmr,,8,1,0.5691,0.5595,0.5596,0.5596
mrmr,,10,10,0.5765,0.5211,0.5212,0.5212
mrmr,,12,10,0.5765,0.5211,0.5212,0.5212
mrmr,,15,10,0.5765,0.5211,0.5212,0.5212
mrmr,,20,10,0.5765,0.5211,0.5212,0.5212
mrmr,,25,25,0.5807,0.5331,0.5346,0.5346
mrmr,,30,25,0.5807,0.5331,0.5346,0.5346
fastener,2020,1,1,0.5692,0.5351,0.5365,0.5365
fastener,2020,2,1,0.5692,0.5351,0.5365,0.5365
fastener,2020,3,3,0.6615,0.6516,0.6519,0.6519
fastener,2020,5,4,0.725,0.7231,0.7231,0.7231
fastener,2020,8,4,0.725,0.7231,0.7231,0.7231
fastener,2020,10,4,0.725,0.7231,0.7231,0.7231
fastener,2020,12,4,0.725,0.7231,0.7231,0.7231
fastener,2020,15,4,0.725,0.7231,0.7231,0.7231
fastener,2020,20,4,0.725,0.7231,0.7231,0.7231
fastener,2020,25,4,0.725,0.7231,0.7231,0.7231
fastener,2020,30,4,0.725,0.7231,0.7231,0.7231
fastener,2021,1,1,0.5306,0.4883,0.4923,0.4923
fastener,2021,2,1,0.5306,0.4883,0.4923,0.4923
fastener,2021,3,3,0.5615,0.5058,0.5058,0.5058
fastener,2021,5,4,0.5692,0.4997,0.5,0.5
fastener,2021,8,8,0.5806,0.4918,0.4923,0.4923
fastener,2021,10,10,0.6134,0.5757,0.5769,0.5769
fastener,2021,12,11,0.6266,0.5479,0.5481,0.5481
fastener,2021,15,11,0.6266,0.5479,0.5481,0.5481
fastener,2021,20,11,0.6266,0.5479,0.5481,0.5481
fastener,2021,25,11,0.6266,0.5479,0.5481,0.5481
fastener,2021,30,11,0.6266,0.5479,0.5481,0.5481
